objectid,parentid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mmcl001,,,SZ4r2DNrE5A,York University Libraries Making & Media Creation Lab intro video,video/mpeg,"The Media Creation Lab was opened in 2022 with a small seed grant and had the values of inclusivity and accessibility at its heart. Despite being open for about two years, students are often still unaware of the services and tools we provide – and since we focus on making media creation accessible for beginners, these first-time creators are precisely the people we want to reach. Moreover, the Libraries are gearing up to open a second location at our new Markham campus library in September 2024, making awareness of what we offer even more crucial. This video is intended to centre our accessible, safe-space approach, with a focus on how we put media creation within faculty, staff and students’ grasp, no matter their department or program or how new they are to the tools.",York University Libraries,,,,youtube video,,,,,,,,,,,,Audio,eng,
queen01,,statue-unveiled.jpg,,Statue of Queen Elizabeth unveiled on grounds of Ontario legislature,image/jpeg,"Lieutenant-Governor of Ontario Elizabeth Dowdeswell, fourth from left, and Ontario Premier Doug Ford, third from left, along with other guests unveil the newly placed statue honouring the late Queen Elizabeth II at Queen's Park in Toronto on Nov. 7. 2023.",Nathan Denette,,Nov 2023,yes,photographs,Statue of Queen Elizabeth II; Queens Park,"Toronto, Ontario",43.66199,-79.39183,The Globe and Mail,The Canadian Press,,ASC19334,1989-035/001(01),In copyright,https://digital.library.yorku.ca/rights/copyright,Image;StillImage,eng,
queen02,,statue-goes-up.jpg,,"Queen Elizabeth’s statue goes up at Queen’s Park, despite misgivings of Indigenous MPP",image/jpeg,"A statue of the late Queen Elizabeth II is placed near the front entrance at Queen’s Park on Sept. 18, 2023.",Star Staff,,Sep 2023,yes,photographs,Statue of Queen Elizabeth II; Queens Park,"Toronto, Ontario",43.66199,-79.39183,,Toronto Star,,ASC00276,1989-035/01,In copyright,https://digital.library.yorku.ca/rights/copyright,Image;StillImage,eng,
queen03,,queen-elizabeth-statue.jpeg,,A photo looking at the Queens Statue at Queens park,image/jpeg,"Centered infront of the Queen park Legislative Building, the statue of Queen Elizabeth has been standing there since 2022",Alex Lupul,,2023,yes,photographs,Statue of Queen Elizabeth II; Queens Park,"Toronto, Ontario",43.66199,-79.39183,CBC News,CBC News,,,,In copyright,https://www.cbc.ca/news/canada/toronto/queen-elizabeth-statue-ontario-1.7020999,Image;StillImage,eng,
podcast,,demo_003.mp3,,Good News – Power (Radio Episode Excerpt),audio/mp3,Example locally hosted audio item. A short excerpt from a Psychiana radio program episode that begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson,,1905-04-30,,audio,Frank B. Robinson; failure; success; material abundance,,,,,,,,,,,,,
example_remotePDF,,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f32_006.pdf,,Dr. Frank B. Robinson Speaking to Packed House,application/pdf,Flyer with large photograph of Robinson giving a speech to a full auditorium. Text follows regarding Robinson 'usually' filling the 'largest auditoriums whenever he speaks' and his waxing popularity.,,,,,photographs,,"Spokane, Washington",,,,,,,,,,Image;StillImage,eng,
example_remoteWebsite,,https://www.markdownguide.org/cheat-sheet/,,Markdown Cheat Sheet,text/html,A website with a quick-reference list of examples for formatting text using Markdown. This is helpful for edits you will make to the “About” page.,Matt Cone,,2024,,,Markdown,,,,,,,,,,,Text,eng,
example_privateYouTube,,,gut_2rCjG0s,Private YouTube Video Example,video/mpeg,"This is an example of a link to a private YouTube video. The content of this video is not visible due to access restrictions, and requests for access may be sent to kjo@yorku.ca. For this to work correctly, the video uploaded to YouTube must be set to 'Private'. If someone requests to see the content, you will have to provide access to them using their email address.",Kris Joseph,,2022,,youtube video,,,,,,,,,,,,Image;MovingImage,eng,
example_privateAudio,,https://drive.google.com/file/d/17hyerrlBGRuH0tnBnQfErOVlYErGcn4u/view?usp=sharing,,Private Audio File Example,audio/mp3,"This is an example of a link to a private audio file. The file is located on Google Drive, and the sharing option is set to “Restricted.” You can provide people with access to the audio using their email address.",DJ Chus,,2017,,audio,House music,,,,,,,,,,,Audio,eng,
file01,,queen-elizabeth-death.jpg,,Announcement of the Queen's death,image/jpeg,Big screen banner announcing the death of the Queen Elizabeth II,Samuel Regan-Asante,,2022,,photographs,"death, Queen, Monarchy, 2022",,,,,,,,,Unsplash License,https://unsplash.com/license,image,eng,
